,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,29,technician,single,basic.9y,no,yes,no,cellular,nov,wed,648.0,1,999,0,nonexistent,no
1,31,admin.,single,university.degree,no,no,no,cellular,aug,wed,295.0,1,999,0,nonexistent,no
2,27,blue-collar,single,basic.9y,no,yes,no,telephone,jul,mon,236.0,2,999,0,nonexistent,no
3,30,services,married,unknown,no,no,no,telephone,may,wed,143.0,3,999,0,nonexistent,no
4,32,technician,married,university.degree,no,no,no,cellular,aug,thu,155.0,1,999,0,nonexistent,no
5,37,technician,single,professional.course,no,yes,no,cellular,aug,thu,286.0,2,999,0,nonexistent,no
6,31,admin.,married,university.degree,no,yes,no,telephone,oct,mon,131.0,1,999,0,nonexistent,yes
7,38,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,92.0,2,999,0,nonexistent,no
8,34,entrepreneur,married,university.degree,no,yes,no,cellular,nov,thu,69.0,1,999,1,failure,no
9,51,self-employed,married,basic.4y,unknown,no,yes,telephone,may,wed,91.0,7,999,0,nonexistent,no
10,34,unemployed,married,university.degree,no,no,no,cellular,sep,mon,109.0,3,999,1,failure,no
11,34,admin.,married,university.degree,no,no,no,cellular,nov,fri,467.0,1,999,0,nonexistent,yes
12,54,admin.,married,high.school,no,yes,no,cellular,jul,tue,369.0,3,999,0,nonexistent,no
13,46,services,married,high.school,unknown,yes,no,telephone,may,mon,313.0,3,999,0,nonexistent,no
14,36,technician,married,unknown,no,yes,no,telephone,may,tue,322.0,2,999,0,nonexistent,no
15,45,technician,married,basic.9y,unknown,no,no,telephone,may,tue,166.0,2,999,0,nonexistent,no
16,26,technician,married,professional.course,no,yes,no,cellular,may,fri,11.0,5,999,0,nonexistent,no
17,56,self-employed,divorced,high.school,no,no,no,cellular,nov,tue,79.0,1,999,0,nonexistent,no
18,52,self-employed,married,university.degree,no,no,no,telephone,may,fri,61.0,1,999,0,nonexistent,no
19,34,admin.,married,university.degree,no,no,no,cellular,nov,fri,128.0,2,999,0,nonexistent,no
20,50,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,73.0,2,999,0,nonexistent,no
21,36,self-employed,single,basic.9y,no,no,no,cellular,nov,tue,94.0,1,999,0,nonexistent,no
22,29,admin.,single,university.degree,no,no,no,cellular,jul,thu,441.0,1,999,0,nonexistent,no
23,33,technician,single,high.school,no,yes,no,cellular,may,wed,446.0,3,999,0,nonexistent,no
24,33,admin.,married,university.degree,no,yes,no,telephone,nov,fri,148.0,3,999,1,failure,no
25,63,retired,divorced,university.degree,no,yes,yes,cellular,jul,thu,146.0,1,999,1,failure,no
26,49,technician,married,high.school,no,yes,no,telephone,jun,tue,80.0,1,999,0,nonexistent,no
27,47,technician,single,university.degree,unknown,yes,yes,telephone,may,mon,118.0,6,999,0,nonexistent,no
28,35,technician,married,university.degree,no,yes,no,cellular,nov,thu,92.0,1,999,0,nonexistent,no
29,36,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,853.0,1,999,0,nonexistent,no
30,35,technician,divorced,university.degree,no,yes,yes,cellular,aug,mon,142.0,2,999,0,nonexistent,no
31,28,services,single,basic.9y,no,yes,no,telephone,may,fri,393.0,2,999,0,nonexistent,no
32,37,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,223.0,1,999,0,nonexistent,no
33,46,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,166.0,3,999,0,nonexistent,no
34,36,technician,married,basic.4y,no,no,no,cellular,jul,mon,854.0,1,999,0,nonexistent,yes
35,35,blue-collar,married,high.school,unknown,yes,no,cellular,nov,mon,273.0,2,999,1,failure,no
36,24,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,225.0,2,999,0,nonexistent,no
37,38,management,married,university.degree,no,no,no,cellular,nov,thu,196.0,2,999,0,nonexistent,no
38,48,services,married,high.school,no,no,no,cellular,jul,mon,157.0,3,999,0,nonexistent,no
39,29,technician,married,professional.course,no,unknown,unknown,cellular,jul,thu,338.0,9,999,0,nonexistent,no
40,36,technician,married,university.degree,no,yes,no,cellular,aug,tue,139.0,1,999,0,nonexistent,no
41,53,admin.,married,university.degree,no,no,no,cellular,aug,fri,139.0,1,999,0,nonexistent,no
42,28,technician,single,high.school,no,yes,yes,cellular,may,thu,609.0,1,11,1,success,yes
43,35,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,1806.0,2,999,0,nonexistent,yes
44,38,technician,married,professional.course,unknown,yes,no,telephone,may,tue,231.0,1,999,0,nonexistent,no
45,23,technician,single,professional.course,no,yes,no,cellular,nov,thu,116.0,5,9,2,failure,no
46,30,blue-collar,married,high.school,no,yes,no,cellular,jul,tue,144.0,4,999,0,nonexistent,no
47,38,admin.,married,university.degree,no,yes,no,cellular,oct,wed,828.0,1,999,1,failure,yes
48,36,admin.,married,high.school,no,yes,yes,telephone,jun,fri,111.0,4,999,0,nonexistent,no
49,43,technician,single,high.school,no,yes,yes,cellular,may,wed,610.0,1,999,0,nonexistent,yes
50,49,technician,married,high.school,no,yes,no,telephone,may,wed,418.0,2,999,0,nonexistent,no
51,34,services,married,high.school,no,no,no,cellular,may,tue,542.0,4,999,1,failure,no
52,29,admin.,single,university.degree,no,no,no,cellular,may,wed,720.0,1,6,2,failure,no
53,37,management,divorced,university.degree,no,no,no,cellular,nov,wed,295.0,1,999,1,failure,no
54,50,blue-collar,divorced,high.school,no,no,no,telephone,may,wed,206.0,6,999,0,nonexistent,no
55,29,services,single,university.degree,no,no,no,cellular,jul,fri,116.0,1,999,0,nonexistent,no
56,51,technician,married,university.degree,no,yes,no,cellular,apr,thu,526.0,2,999,1,failure,yes
57,37,unemployed,married,professional.course,unknown,yes,no,cellular,jul,wed,59.0,1,999,0,nonexistent,no
58,33,blue-collar,married,basic.9y,no,no,yes,cellular,may,thu,178.0,7,999,0,nonexistent,no
59,39,technician,single,professional.course,no,no,no,cellular,may,tue,844.0,1,999,0,nonexistent,yes
60,46,admin.,married,university.degree,no,yes,no,telephone,jun,mon,502.0,5,999,0,nonexistent,yes
61,36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,284.0,3,999,0,nonexistent,no
62,31,technician,single,professional.course,no,yes,no,telephone,may,tue,198.0,1,999,0,nonexistent,no
63,47,technician,divorced,high.school,no,no,no,telephone,jul,thu,393.0,3,999,0,nonexistent,no
64,34,technician,single,university.degree,no,yes,no,cellular,jul,thu,560.0,1,999,0,nonexistent,yes
65,46,services,married,high.school,no,no,no,cellular,apr,thu,146.0,1,999,0,nonexistent,no
66,48,blue-collar,married,professional.course,no,yes,no,cellular,aug,wed,119.0,1,999,0,nonexistent,no
67,50,admin.,divorced,basic.9y,no,no,no,cellular,jul,mon,47.0,4,999,0,nonexistent,no
68,49,admin.,divorced,high.school,no,no,no,cellular,jul,mon,21.0,2,999,0,nonexistent,no
69,35,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,349.0,1,999,0,nonexistent,no
70,59,admin.,married,high.school,no,no,no,cellular,may,wed,289.0,1,999,0,nonexistent,no
71,44,services,married,high.school,no,yes,yes,telephone,may,wed,212.0,4,999,0,nonexistent,no
72,59,retired,married,professional.course,no,no,no,telephone,dec,tue,476.0,1,999,1,failure,yes
73,34,admin.,married,high.school,no,yes,no,cellular,nov,mon,355.0,1,999,0,nonexistent,no
74,31,services,divorced,high.school,no,yes,no,cellular,jul,mon,172.0,1,999,0,nonexistent,no
75,34,technician,married,professional.course,no,no,no,cellular,aug,mon,187.0,1,999,0,nonexistent,no
76,33,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,482.0,2,999,0,nonexistent,no
77,45,technician,divorced,professional.course,no,yes,no,telephone,may,fri,117.0,1,999,0,nonexistent,no
78,58,management,married,university.degree,no,no,no,telephone,may,mon,236.0,10,999,0,nonexistent,no
79,55,admin.,married,university.degree,no,no,no,cellular,may,fri,190.0,1,999,0,nonexistent,no
80,57,management,divorced,university.degree,unknown,yes,yes,telephone,jun,tue,236.0,2,999,0,nonexistent,no
81,52,blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,fri,114.0,12,999,0,nonexistent,no
82,29,admin.,single,university.degree,no,yes,no,cellular,aug,fri,65.0,1,999,0,nonexistent,no
83,48,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,28.0,6,999,0,nonexistent,no
84,30,student,single,professional.course,no,no,yes,cellular,apr,fri,170.0,2,999,1,failure,no
85,42,blue-collar,single,basic.4y,no,yes,no,cellular,may,thu,560.0,3,999,0,nonexistent,no
86,29,admin.,single,high.school,no,yes,yes,telephone,apr,wed,186.0,4,999,0,nonexistent,no
